fighter,move_id,name,kind,command,family,strength,source_pose,availability,activation_credit_cost,lease_item,lease_price,replaces,startup,active,recovery,startup_interval,active_interval,recovery_interval,total_action_ticks,super_freeze,hit_intervals,projectile_spawn_tick,reference_art,reuse_policy,production_status,production_outstanding
rook,s_lp,S LP,normal,S+LP,s_lp,lp,s_lp,base,0,,,,3,2,7,"[0,3)","[3,5)","[5,12)",12,0,"h0:[3,5)/group0/mid",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,s_mp,S MP,normal,S+MP,s_mp,mp,s_mp,base,0,,,,5,3,12,"[0,5)","[5,8)","[8,20)",20,0,"h0:[5,8)/group0/mid",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,s_hp,S HP,normal,S+HP,s_hp,hp,s_hp,base,0,,,,8,4,19,"[0,8)","[8,12)","[12,31)",31,0,"h0:[8,12)/group0/mid",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,s_lk,S LK,normal,S+LK,s_lk,lk,s_lk,base,0,,,,3,2,7,"[0,3)","[3,5)","[5,12)",12,0,"h0:[3,5)/group0/mid",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,s_mk,S MK,normal,S+MK,s_mk,mk,s_mk,base,0,,,,5,3,12,"[0,5)","[5,8)","[8,20)",20,0,"h0:[5,8)/group0/mid",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,s_hk,S HK,normal,S+HK,s_hk,hk,s_hk,base,0,,,,8,4,19,"[0,8)","[8,12)","[12,31)",31,0,"h0:[8,12)/group0/mid",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,c_lp,C LP,normal,C+LP,c_lp,lp,c_lp,base,0,,,,3,2,7,"[0,3)","[3,5)","[5,12)",12,0,"h0:[3,5)/group0/mid",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,c_mp,C MP,normal,C+MP,c_mp,mp,c_mp,base,0,,,,5,3,12,"[0,5)","[5,8)","[8,20)",20,0,"h0:[5,8)/group0/mid",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,c_hp,C HP,normal,C+HP,c_hp,hp,c_hp,base,0,,,,8,4,19,"[0,8)","[8,12)","[12,31)",31,0,"h0:[8,12)/group0/mid",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,c_lk,C LK,normal,C+LK,c_lk,lk,c_lk,base,0,,,,3,2,7,"[0,3)","[3,5)","[5,12)",12,0,"h0:[3,5)/group0/low",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,c_mk,C MK,normal,C+MK,c_mk,mk,c_mk,base,0,,,,5,3,12,"[0,5)","[5,8)","[8,20)",20,0,"h0:[5,8)/group0/low",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,c_hk,C HK,normal,C+HK,c_hk,hk,c_hk,base,0,,,,8,4,19,"[0,8)","[8,12)","[12,31)",31,0,"h0:[8,12)/group0/low",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,j_lp,J LP,normal,J+LP,j_lp,lp,j_lp,base,0,,,,3,2,7,"[0,3)","[3,5)","[5,12)",12,0,"h0:[3,5)/group0/air",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,j_mp,J MP,normal,J+MP,j_mp,mp,j_mp,base,0,,,,5,3,12,"[0,5)","[5,8)","[8,20)",20,0,"h0:[5,8)/group0/air",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,j_hp,J HP,normal,J+HP,j_hp,hp,j_hp,base,0,,,,8,4,19,"[0,8)","[8,12)","[12,31)",31,0,"h0:[8,12)/group0/air",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,j_lk,J LK,normal,J+LK,j_lk,lk,j_lk,base,0,,,,3,2,7,"[0,3)","[3,5)","[5,12)",12,0,"h0:[3,5)/group0/air",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,j_mk,J MK,normal,J+MK,j_mk,mk,j_mk,base,0,,,,5,3,12,"[0,5)","[5,8)","[8,20)",20,0,"h0:[5,8)/group0/air",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,j_hk,J HK,normal,J+HK,j_hk,hk,j_hk,base,0,,,,8,4,19,"[0,8)","[8,12)","[12,31)",31,0,"h0:[8,12)/group0/air",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
