category,id,component,canonical_source,reference_art,design,required_variants,art_status,runtime_status,production_outstanding,scope
screen,title,Title / attract / main menu,game/Main*.cs,ui/title-backdrop.png;ui/interface-atlas.png;ui/branding-announcements.png,Stacked STRIKE LEDGER wordmark; original foundry exhibition; readable menu strip,title idle;keyboard focus;pad focus;mouse hover,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,select,Lineup and super-art selection,game/Main*.cs,ui/menu-designs.png;ui/interface-atlas.png;fighters/rook/identity.png;fighters/vale/identity.png,"Two corner cards with portraits, fighter name, archetype, three named arts and numeric costs",local;CPU;training;mirror match;P1/P2;selected art;device assignment,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,prep,Local round preparation,game/Main*.cs,ui/menu-designs.png;ui/lease-icons.png;ui/hud-atlas.png,Independent procurement cards; three lease slots; budget calculation; lock stamp,empty;selected;unaffordable;reserve protected;locked;timeout;both revealed,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,fight,Fight arena,game/Main*.cs,stages/foundry.png;ui/hud-atlas.png;effects/combat-atlas.png;ui/branding-announcements.png,Quiet background behind large silhouettes; health and cash remain readable,CPU;local;private;normal/mirror;round lifecycle,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,results,Match settlement,game/Main*.cs,ui/menu-designs.png;fighters/rook/identity.png;fighters/vale/identity.png;ui/branding-announcements.png,Receipt-like final points and credits with winner portrait and rematch controls,P1 win;P2 win;draw;rematch;lineup;replay saved,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,pause,Pause menu,game/Main*.cs,ui/interface-atlas.png;ui/menu-designs.png;ui/system-designs.png,Dark translucent scrim; compact resume-first menu,local;private pause;controller disconnected,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,help,Field manual,game/Main*.cs,ui/interface-atlas.png;ui/typography.png,"Legible printed workshop manual; diagrams for motion, defense and single wallet",controls;motions;charge;economy;free kit;page/footer,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,moves,Command reference,game/Main*.cs,ui/interface-atlas.png;ui/typography.png,"Fixed columns for move, relative command, startup/active/recovery and credit cost",Rook/Vale;5 pages each;free;EX;selected/unselected super;lease-only,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,settings,Preferences,game/Main*.cs,ui/interface-atlas.png;ui/typography.png;ui/system-designs.png,Volume sliders and clear text/shape toggle states,master;music;SFX;reduced flashes;shake;fullscreen;resolution;VSync,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,controls,Controls and live device test,game/Main*.cs,ui/interface-atlas.png;ui/typography.png;ui/system-designs.png,Separate player/device cards; six attack buttons; raw input and SOCD display,keyboard;controller;binding capture;deadzone;connected;disconnected;unassigned,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,replays,Replay archive,game/Main*.cs,ui/interface-atlas.png;ui/menu-designs.png;ui/system-designs.png,Tape-catalog rows with date/name and verification status,empty;populated;selected;malformed/rejected,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,replay_controls,Replay controls,game/Main*.cs,ui/interface-atlas.png;ui/typography.png;ui/system-designs.png,Transport controls and optional analytic overlays,play/pause;single step;seek;restart;0.5x/1x/2x;inputs;boxes;receipts;export,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,labmenu,Training menu,game/Main*.cs,ui/interface-atlas.png;ui/menu-designs.png;ui/system-designs.png,Workshop panel; plainly marked training-only controls,drill;reset;swap sides;checkpoint;record/stop dummy;loop;dummy mode;export,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,lab_state,Training state editor,game/Main*.cs,ui/interface-atlas.png;ui/typography.png;ui/system-designs.png,Two player columns of exact health/stun/credit/position values,P1/P2;state increments;0.25x/0.5x/1x;return to practice,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,network_menu,Private host / join,game/Main*.cs,ui/interface-atlas.png;ui/menu-designs.png;ui/system-designs.png,"Private connection form with address, port, phrase and lineup",host;join;valid/invalid fields;pad text entry,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,network,Connecting screen,game/Main*.cs,ui/interface-atlas.png;ui/system-designs.png,Small stepped connection glyph plus plain peer diagnostic,connecting;waiting for peer;cancel,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,network_prep,Private round preparation,game/Main*.cs,ui/menu-designs.png;ui/lease-icons.png;ui/system-designs.png,Only own draft shown; commitment/reveal explanation,unlocked;unaffordable;reserve;lock;timeout,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
